48
5
Alabama,Arizona,2868.1784177465343
Alabama,Arkansas,672.8151726254732
Alabama,California,3910.7411305068395
Alabama,Colorado,2077.145237708312
Alabama,Connecticut,1519.507757965533
Alabama,Florida,223.74933946774405
Alabama,Oregon,4077.3821775962833
Arizona,Arkansas,2195.3633128392253
Arizona,California,1074.656482977131
Arizona,Colorado,817.9816362194746
Arizona,Connecticut,4368.8983013914485
Arizona,Florida,3090.6378199186684
Arizona,Oregon,1348.7170068790763
Arkansas,California,3240.5930582520614
Arkansas,Colorado,1408.1193462358042
Arkansas,Connecticut,2183.712851664729
Arkansas,Florida,895.5322444056538
Arkansas,Oregon,3417.8319636981573
California,Colorado,1833.667997380864
California,Connecticut,5423.347215231121
California,Florida,4130.538510275533
California,Oregon,415.9506567563833
Colorado,Connecticut,3591.8183125851588
Colorado,Florida,2296.9016171940366
Colorado,Oregon,2018.369869710033
Connecticut,Florida,1307.5706360010886
Connecticut,Oregon,5596.857166768186
Florida,Oregon,4291.900952145623
2
7
8
